Job Title,Job URL,Company,Location,Job Description,required_skills
Software Engineer,https://id.jobstreet.com/id/job/91369139?type=standard&ref=search-standalone&origin=cardTitle#sol=be4b534f4576d34461dffe72059ec56210c6e7d9,PT Jaya Mulia Permata,Jakarta Timur,"Anda Berpengalaman sebagai Software Developer/Full Stack Developer? Anda ingin membuat software yang mengedepankan user experience? | PT Jaya Mulia Permata | adalah perusahaan grosir yang bergerak di bidang perhiasan yang berlokasi di Jakarta, Bandung, dan Surabaya. Visi kami adalah “Menjadi distributor perhiasan terkemuka di Indonesia dengan merek produk dan kualitas layanan terbaik”. Saat ini kami telah berdiri lebih dari 20 tahun dan memiliki pelanggan setia yang tersebar di banyak kota dan daerah. | Saat ini Perusahaan kami sedang membutuhkan Software Engineer dengan tanggung jawab membuat kode API menggunakan C#, tampilan web menggunakan React dan terintegrasi CI/CD, Kubernetes (K8s), NGINX. Berikut deskripsi pekerjaan dan kualifikasinya. | Kualifikasi: | Pendidikan minimal S1 Ilmu komputer/ Sistem Informasi/ Informasi teknologi | Pengalaman minimal 1-3 tahun di bidang yang sama | Teliti dan detail dalam pengembangan software | Bersedia bekerja dari hari Senin sampai dengan Sabtu. | Key Responsibilities | Development: | Design and develop scalable backend services using | Visual C# (.NET) | and interactive front-end applications/PWAs using | ReactJS | . | Collaboration: | Work closely with | Business Analysts | to translate functional requirements into technical specifications. | Quality Assurance: | Write comprehensive | unit tests | to ensure code reliability and maintainability. | Documentation: | Create and maintain technical documentation for system architecture and API endpoints. | DevOps (Plus): | Assist in managing the deployment pipeline using | Jenkins | , | Kubernetes | , and | NGINX | configuration. | Technical Requirements | Backend: | Proven experience with | C# | and the .NET ecosystem (Web API, Entity Framework). | Frontend: | Deep knowledge of | ReactJS | , including hooks, state management, and building | Progressive Web Apps (PWA) | . | Web Standards: | Strong understanding of HTML5, CSS3, and asynchronous request handling. | Testing: | Experience with testing frameworks (e.g., xUnit, NUnit, Jest, or React Testing Library). | Benefit : | 1. Gaji Pokok | 2. Monthly Variable Bonus | 3. Yearly Variable Bonus | 4. Monthly Celebration | 5. Yearly Celebration | 6. BPJS Ketenagakerjaan dan BPJS Kesehatan | Jika Anda tidak ingin sekedar bekerja, namun juga belajar bersama di Sekolah Kehidupan ini, kami tunggu Anda sebelum tanggal 02 Mei 2026. ACTION sekarang juga!","[""React"", ""ReactJS"", ""Kubernetes"", ""CI/CD"", ""Jenkins"", ""API""]"
WFH Live Streaming,https://id.jobstreet.com/id/job/91448693?type=standard&ref=search-standalone&origin=cardTitle#sol=5819aafd86f352ad9fbaab4ac52ac95e133297ef,Damia Alinea Utama,Jakarta Selatan,"Kesempatan Bergabung | Kami sedang mencari seorang | WFH Live Streaming | yang berbakat untuk bergabung dengan tim kami di Damia Alinea Utama. Sebagai WFH Live Streaming, Anda akan berperan penting dalam mengembangkan konten siaran langsung yang menarik dan melibatkan untuk audiens kami di berbagai platform digital. Kandidat ideal memiliki keahlian teknis dalam produksi video, pemahaman mendalam tentang tren media sosial, dan kemampuan untuk membuat konten yang memikat secara visual. Posisi ini memungkinkan Anda untuk bekerja secara fleksibel dari mana saja. | Manfaat Bekerja di Damia Alinea Utama | Kompensasi yang kompetitif dan paket manfaat yang menarik. | Fleksibilitas untuk bekerja dari mana saja dengan pengaturan kerja jarak jauh. | Lingkungan kerja yang kolaboratif dan mendukung pengembangan karier. | Kesempatan untuk terlibat dalam proyek-proyek yang inovatif dan menantang. | Budaya perusahaan yang mendorong keseimbangan kehidupan dan pekerjaan. | Tentang Damia Alinea Utama | Damia Alinea Utama adalah perusahaan teknologi yang berfokus pada pengembangan solusi digital inovatif. Didirikan pada tahun 2020, kami telah tumbuh menjadi salah satu penyedia layanan IT terkemuka di Makassar, Sulawesi Selatan. Kami berkomitmen untuk menyediakan lingkungan kerja yang dinamis, inklusif, dan mendukung, di mana karyawan dapat berkembang dan mencapai potensi penuh mereka. | Kirim lamaran Anda sekarang untuk bergabung dengan tim kami yang luar biasa!",[]
Software Engineer,https://id.jobstreet.com/id/job/91610665?type=standard&ref=search-standalone&origin=cardTitle#sol=80742249be8341a8fcd805524a36710f2a452d99,PT Limin Marine & Offshore,Jakarta Raya,"Key Responsibilities | Assist in designing, developing, testing, and maintaining ERP-related web applications using Node.js, Vue.js, and Express.js. | Collaborate with front-end developers, UI/UX designers, and system analysts during ERP module development. | Write clean, structured, and maintainable code under guidance from senior developers. | Support integration between ERP modules and third-party APIs or internal systems (Finance, HR, Procurement, Inventory). | Perform debugging, basic testing, and resolve minor application issues. | Assist in preparing and updating technical documentation. | Provide support during deployment and troubleshoot ERP applications when required. | Help monitor system performance and escalate issues when necessary. | Requirements | Bachelor’s degree in Computer Science, Information Technology, or related field. | 1–3 years of experience in web development (fresh graduates with strong portfolio are welcome). | Familiar with JavaScript, Node.js, Vue.js, and Express.js. | Understanding of RESTful API concepts. | Basic knowledge of relational databases (MySQL or PostgreSQL). | Familiar with Git version control. | Understanding of ERP systems or business process modules is a strong advantage. | Strong logical thinking and problem-solving skills. | Nice to Have | Experience working on ERP, accounting, HRIS, or inventory systems. | Basic understanding of system integration and API documentation. | Familiarity with deployment processes or Linux server environment.","[""JavaScript"", ""Vue"", ""UI/UX"", ""Node.js"", ""Express"", ""Linux"", ""Git"", ""MySQL"", ""PostgreSQL"", ""API""]"
Project Manager,https://id.jobstreet.com/id/job/91334829?type=standard&ref=search-standalone&origin=cardTitle#sol=6f3fd4b807552956c93eff1a9de101f3f7279495,Perusahaan Dirahasiakan,Tangerang,"Job Responsibilities of Project Manager | 1. Staff & Capacity Management: | Develop staffing and recruitment plans to ensure equipment operates at full load with high efficiency. | ​ | 2. Planning & Assignment: | Formulate weekly work plans and clearly communicate them to team leaders to ensure aligned objectives. | ​ | 3. Output Target Management: | Oversee overall quality and progress, ensuring the average daily approved video duration per person reaches no less than 2.5 hours. | ​ | 4. Advance Task Arrangement: | Complete task allocation one day in advance, provide task training and target briefings to team leaders. | ​ | 5. Materials Management: | Conduct inventory, estimation and replenishment of props, and supply materials timely according to task scale. | ​ | 6. Data Review & Improvement: | Compile daily team performance data, analyze issues, formulate improvement measures and track implementation results. | ​ | 7. Client Coordination: | Receive client information in real time, respond, communicate and provide feedback promptly. | ​ | 8. Requirement Confirmation: | Confirm unclear matters with the client before proceeding with execution. | ​ | 9. Performance & Incentives: | Develop team performance assessment plans to boost employee motivation and work efficiency. | ​ | 10. Daily Attendance Verification: | Confirm the number of on-duty personnel before work and check the consistency of attendance records. | ​ | 11. Pre-Shift Inspection: | Supervise the distribution, registration and signing of equipment and props to ensure standardized collection. | ​ | 12. On-Site Inspection: | Patrol each team’s progress, quality and discipline during working hours. | ​ | 13. Post-Shift Reconciliation: | Supervise the return, count, registration and signing of equipment and props.",[]
Digital Marketing,https://id.jobstreet.com/id/job/91743067?type=standard&ref=search-standalone&origin=cardTitle#sol=6c25240f8383c513dca35f8081a91c17c61de305,Netzme Kreasi Indonesia,Kebayoran Lama,"We’re currently focusing on hiring other positions. However, we still open for interested candidate to join our cause. Please send your application to | erwin@netzme.id | & | mira@netzme.id | with subject “QA Mobile Software – Jakarta” and we will get in touch with you later, the soonest we could","[""QA""]"
DevOps Intern (Mahasiswa Aktif),https://id.jobstreet.com/id/job/91484482?type=standard&ref=search-standalone&origin=cardTitle#sol=8cffc37a844a47cab6f11e8dcff71baa8fd318c5,PT. Salam Pacific Indonesia Lines,Surabaya,About the Job: | Membantu mentor dalam pengembangan dan optimalisasi frontend aplikasi OPN dan TrackIT sesuai kebutuhan serta memastikan performa aplikasi berjalan sesuai ekspektasi. | Minimum Qualifications: | - Mahasiswa aktif jurusan Sistem Informasi atau bidang terkait min. semester 7 | - Menguasai bahasa pemrograman React.js dan Concept Microservices | - Memahami basic CI/CD dan Containerize | - Bersedia penempatan Surabaya,"[""React"", ""CI/CD""]"
Business & Solution Analyst,https://id.jobstreet.com/id/job/91628347?type=standard&ref=search-standalone&origin=cardTitle#sol=2446514e8f39c9785188a1e21d0ebe2d16ecf7cf,PT Cemerlang Tunggal Intikarsa (CTI Group Jakarta),Jakarta Raya,"Qualification : | -Bachelor's degree in Business, IT, or related field. | -Strong analytical and problem-solving skills. | -3-5 years of experience in business analysis. | -Knowledge of process modeling techniques. | -Understand backoffice process. | Responsibilities : | -Gather and analyze business requirements. | -Create business models, process diagrams, and specifications to build streamlined and improved business processes | -Liaise with IT teams & Business Process Owner to design solutions. | -Support testing and implementation of solutions. | -Ensure solutions align with business objectives.",[]
Presales (Technical Sales),https://id.jobstreet.com/id/job/91590968?type=standard&ref=search-standalone&origin=cardTitle#sol=de3d326125db400dd19323745b4b5e3f2f1fb312,Asaba Group,Jakarta Pusat,"What We're Looking For | Bachelor Degree in Computer Science, Information Technology, Electrical Engineering, Industrial Engineering | or a related field | Experiences in a Presales or Technical Sales role within the Information & Communication Technology industry | Fresh graduates are welcome to apply | Strong technical background with in-depth knowledge of enterprise IT Network Hardware | Good knowledge of basic SQL and Microsoft Excel is a plus; familiar with ERP, HRIS, LMS, and CRM. | Excellent communication and presentation skills, with the ability to translate technical information into business value | Consultative mindset, with the ability to listen, understand, and address client needs | Placement at | PT Samafitro (Asaba Group) | , Juanda, Jakarta Pusat | What You'll Be Doing : | Conducting technical presentations and product demonstrations to prospective clients | Collaborating with the sales team to understand customer requirements and develop tailored solutions | Providing technical expertise and guidance to support the sales process | Contribute to the continuous development and enhancement of our presales capabilities | Engaging with subject matter experts and product managers to stay updated on the latest product features and capabilities | Providing post-sales support, including implementation planning and troubleshooting | Contributing to the continuous improvement of pre-sales and post-sales processes","[""SQL"", ""Excel"", ""Troubleshooting""]"
Sales Engineer,https://id.jobstreet.com/id/job/91836882?type=standard&ref=search-standalone&origin=cardTitle#sol=a9020d0826023079978921779032d1f737b95420,"Shengnuowei Fluid Equipment Co., Ltd.",Jakarta Utara,"Job Description | We are seeking a driven and technically proficient | Sales Engineer | to join our Sales & Marketing department. Reporting directly to the Manager, you will be responsible for expanding our footprint in the Oil & Gas, Mining, and Food/Beverage sectors. | Key Responsibilities: | Business Development: | Proactively identify and acquire new clients within the Oil & Gas, Mining, and Food/Dairy manufacturing industries. | Technical Consultation: | Conduct site visits and field surveys to inspect machinery and recommend appropriate technical products. | Proposal Management: | Prepare comprehensive technical proposals and price quotations for potential customers. | Account Management: | Maintain and nurture strong relationships with existing clients to secure stable revenue from repeat orders. | Technical Collaboration: | Coordinate with the technical team to ensure products are installed correctly and function optimally. | Financial Follow-up: | Monitor and ensure the 100% collection of payments from customers after project completion. | Industry Networking: | Represent the company at industry events to expand professional networks and monitor market trends. | Requirements | Education: | Minimum Diploma (D3) or Bachelor’s Degree (S1) in Mechanical, Industrial, or Electrical Engineering. | Experience: | 2 - 3 years of proven experience as a Sales Engineer. | Language: | Must be fluent in Bahasa Indonesia and possess | good communication skills in English | . | Technical Skills: | Ability to read technical drawings and understand material specifications. | Strong negotiation skills with both Procurement departments and Maintenance/User teams. | Hands-on experience in providing technical solutions through site visits. | Industry Preference: | Candidates with a network or experience in Oil & Gas, Mining, Dairy, or General Manufacturing are highly preferred. | Product Knowledge: | Experience in selling/servicing Mechanical Seals, Water Pumps, Air Compressors, or Valves is a significant advantage.","[""Networking""]"
Activation Specialist (Mekari Talenta) - Surabaya,https://id.jobstreet.com/id/job/87486969?type=standard&ref=search-standalone&origin=cardTitle#sol=1b6fe4aaf99bb1fc496d6c48d393f1bfa7bfd338,PT Mid Solusi Nusantara (MEKARI),Surabaya,"Mekari is Indonesia's no. 1 Software-as-a-Service (SaaS) company. With our ecosystem of software solutions—including Mekari Jurnal, Mekari Talenta, Mekari Qontak, and Mekari Flex, we aim to facilitate entrepreneurs and leaders as they accelerate the digital transformation of their businesses. | In our 10+ years of journey we have reached over 1 Million platform users, and we're not planning to stop any time soon. We need more people like you: builders and owners with calculated ambition who are ready to | #ElevateThroughImpact | and raise Indonesia's software standard. | Job Descriptions: | Assist client to setup applications appropriate with clients requirements | Provide consultancy for a client about best practice HRIS, Payroll, etc | Support and give problem-solving to clients | Gather client requirements and implement the system | Report to the manager about client needs and problems regularly | Requirements/Qualifications: | Candidate must possess at least a Bachelor's Degree Information Technology, Accounting, Human Resource Management or equivalent | At least 1 year(s) of working experience handling Payroll or having experience in HRIS company | Required skill(s): Knowledgeable of Payroll software, TAX, BPJS, Overtime, and the other Payroll component are related is added value | Good analysis | Comfortable with numbers and meeting clients | Fast learner and independent | Having good interpersonal and teamwork skill | Able to work under pressure | What You Will Get: | 1. Competitive salary + daily allowance. | 2. Premium private health insurance (outpatient, inpatient, maternity, dental). | 3. Early access to salary + flex installment (employee loan) via Mekari Flex. | 4. Allowance for sports activities and glasses/contact lenses. | 5. Flexible working hours with a hybrid work culture. | 6. Annual and unpaid leaves from day 1 of join date + unlimited sick leave with doctor note. | 7. Notebook Ownership Program. | 8. Friendly and dynamic work environment. | 9. Opportunity to build impactful solutions with Indonesia's no. 1 SaaS company. | Our team will review your application and will be in touch if your application is shortlisted to the next stage. If you do not hear from us in 30 days, we will keep your resume on file in case a relevant opportunity opens up.",[]
