Job Title,Job URL,Company,Location,Job Description,required_skills
IT,https://id.jobstreet.com/id/job/91433543?type=standard&ref=search-standalone&origin=cardTitle#sol=bca79ad00393d2165537a6fd089704349ecc16e7,PT Setrindo Prima,Jakarta Utara,"Gambaran Umum Pekerjaan | PT Setrindo Prima, sebuah perusahaan teknologi terkemuka di Indonesia, saat ini sedang mencari kandidat yang berbakat dan berpengalaman untuk bergabung dengan tim IT kami di lokasi kami di Jakarta Utara. Sebagai spesialis IT, Anda akan memainkan peran kunci dalam memastikan bahwa sistem dan infrastruktur teknologi kami tetap berfungsi dengan lancar, mendukung pertumbuhan bisnis kami secara keseluruhan. | Tanggung Jawab Utama | Memantau dan mengelola infrastruktur jaringan serta perangkat keras dan lunak TI perusahaan. | Mengidentifikasi dan mengatasi masalah teknis dengan cepat dan efisien. | Melakukan Konfigurasi dan pemeliharaan jaringan (Router, Switch, Firewall, Acces Point) | Memastikan Koneksi internet berjalan stabil (LAN,WAN, VPN) | Melakukan troubleshooting dan perbaikan pada PC, Laptop, Printer dan Perangkat Periferal lainnya. | Mengimplementasikan dan memelihara solusi keamanan TI untuk melindungi data dan sistem kami. | Melakukan perawatan rutin pada seluruh aset hardware perusahaan | Memberikan rekomendasi untuk peningkatan dan pembaruan teknologi. | Berkolaborasi dengan tim lain untuk memastikan pengalaman pengguna yang lancar. | Keterampilan, Kualifikasi, dan Pengalaman yang Dibutuhkan | Pendidikan Diploma III atau Gelar sarjana di bidang Teknologi Informasi, Teknik Komputer, atau bidang terkait. | Minimal 2 tahun pengalaman dalam peran IT Support, khususnya di bidang jaringan dan dukungan infrastruktur. | Pengetahuan yang mendalam tentang teknologi jaringan, termasuk router, switch, firewall, dan perangkat keras lainnya. | Menguasai konsep jaringan ( TCP/IP, Mokrotik/Ciso, VLAN, DNS) | Mahir dalam mendiagnosa kerusakan hardware dan instalasi OS (windows/Linux) | Memahami dasar - dasar database (SQL) dan pengelolaan sistem aplikasi perusahaan | Memahami system client server | memahami create seageate crystal report | Pengalaman dalam mengimplementasikan dan memelihara solusi keamanan TI. | Keterampilan komunikasi yang baik, baik lisan maupun tertulis, untuk berinteraksi dengan pengguna akhir. | Kemampuan untuk bekerja dengan baik dalam tim dan lingkungan yang dinamis. | Sertifikasi terkait IT, seperti CCNA atau JNCIA, akan menjadi nilai tambah. | Manfaat Utama Bekerja di PT Setrindo Prima | Paket kompensasi yang kompetitif dan tunjangan yang menarik. | Kesempatan untuk mengembangkan keterampilan dan keahlian teknis Anda. | Lingkungan kerja yang dinamis dan kolaboratif. | Peluang untuk berkembang secara profesional dan mengejar karir yang memuaskan. | Komitmen perusahaan terhadap keberagaman, inklusi, dan kesetaraan kesempatan. | Tentang PT Setrindo Prima | Didirikan pada tahun 1995, PT Setrindo Prima adalah perusahaan teknologi terkemuka di Indonesia yang berspesialisasi dalam layanan IT, pengembangan aplikasi, dan solusi cloud. Dengan lebih dari 25 tahun pengalaman, kami bangga dapat menyediakan solusi canggih yang membantu organisasi mencapai tujuan bisnis mereka. Kami berkomitmen untuk menciptakan lingkungan kerja yang inovatif, kolaboratif, dan mendukung, di mana karyawan dapat tumbuh dan berkembang. | Tertarik bergabung dengan tim kami? Lamar sekarang!","[""SQL"", ""Linux"", ""CCNA"", ""Troubleshooting""]"
Junior Product Manager (Accounting & Finance),https://id.jobstreet.com/id/job/91297936?type=standard&ref=search-standalone&origin=cardTitle#sol=0656b39af922c156243e125cda873a77d3a47318,AIDO HEALTH Indonesia,Tangerang Selatan,"Bachelor's degree | in Accounting, Finance, Information Systems, Business, Computer Science, or related fields | Fresh Graduates | are welcome to apply | Basic understanding | of accounting and finance processes | Strong documentation | and analytical skills | Good written and verbal communication | Highly organized | and detail-oriented | Willing to learn | and work in a fast-paced environment",[]
Accurate System Administrator,https://id.jobstreet.com/id/job/91525619?type=standard&ref=search-standalone&origin=cardTitle#sol=a0d3e4aac16c50cbae43ea02790c00f921b5ef6c,Perusahaan Dirahasiakan,Sumbawa,"Kami adalah Perusahaan Group berskala nasional yang bergerak di bidang budidaya perikanan (Udang). | Kualifikasi : | Pendidikan minimal SMA/SMK/D3/S1 jurusan Akuntansi, Keuangan, Administrasi, atau jurusan lain yang relevan | Mahir menggunakan Microsoft Excel (terutama pengolahan data dan rekap data) | Memiliki pengalaman dalam input data ke sistem Accurate atau software akuntansi sejenis | Memahami dasar-dasar administrasi keuangan dan pencatatan transaksi | Teliti, detail-oriented, dan memiliki tingkat akurasi yang tinggi dalam bekerja | Mampu bekerja secara sistematis, rapi, dan terorganisir | Memiliki kemampuan manajemen waktu yang baik dan mampu bekerja sesuai deadline | Jujur, bertanggung jawab, dan memiliki integritas tinggi | Bersedia bekerja secara on-site di Sumbawa | Mampu bekerja secara individu maupun tim | Deskripsi Pekerjaan : | Melakukan input dan pengelolaan data keuangan ke dalam sistem Accurate secara akurat dan tepat waktu | Mencatat transaksi harian (pembelian, penjualan, kas/bank, dan lainnya) | Melakukan pengecekan dan validasi data untuk memastikan kesesuaian antara data fisik dan sistem | Menyusun laporan keuangan sederhana dan rekap data secara berkala | Mengelola dokumen administrasi keuangan secara rapi dan terstruktur | Berkoordinasi dengan tim terkait untuk kelengkapan data dan dokumen | Membantu proses administrasi lainnya yang berkaitan dengan keuangan dan operasional","[""Excel""]"
Staf Unit Dukungan Layanan Teknologi Informasi,https://id.jobstreet.com/id/job/91490096?type=standard&ref=search-standalone&origin=cardTitle#sol=4ee74382aeeb36e6630b4fd09596a1b5cfa8cee5,PT Kliring Penjaminan Efek Indonesia (KPEI),Kebayoran Lama,"Job Description | Pada posisi ini, Anda akan bertanggung jawab dalam mendukung operasional layanan sistem dengan menangani insiden aplikasi, melakukan troubleshooting awal, serta memastikan setiap permasalahan ditindaklanjuti dan diselesaikan dengan tepat. Anda juga akan mengelola tiket pada sistem helpdesk, melakukan eskalasi jika diperlukan, serta berkontribusi dalam pengelolaan sistem, database, dan monitoring layanan agar tetap berjalan optimal sesuai standar. Posisi ini membutuhkan pemahaman IT Service Management serta kesiapan bekerja dalam sistem shift sesuai kebutuhan operasional. | Minimum Qualifications | Specific Requirements: | Minimum S1 Teknik Informasi/Ilmu Komputer/ Teknik Elektro/Informatika . | Memiliki pengalaman kerja relevan minimal 4 tahun di bidang dukungan layanan teknis / IT support. | Berpengalaman dalam pengembangan dan penanganan insiden aplikasi berbasis Java, C, serta Mobile (Android/iOS). | Memahami IT Service Management (ITSM), khususnya terkait service catalog, incident management, problem management, helpdesk, dan service level management. | Mampu melakukan troubleshooting awal berdasarkan log aplikasi (log4j, stack trace), error message (mis. NullPointerException, timeout, CPU/memory issue), serta laporan user. | Memiliki pengalaman menggunakan ticketing system seperti BMC Remedy, ServiceNow, atau Jira. | Berpengalaman dalam penanganan insiden kritikal serta proses eskalasi ke level L2/L3. | Menguasai environment Linux (Red Hat) dan/atau Windows Server. | Memiliki pemahaman dalam pengelolaan database dan/atau administrasi sistem, serta familiar dengan SQL Server, Oracle, dan MySQL. | Memahami proses operasional, pengembangan, dan maintenance sistem. | General Requirements: | Minimum GPA 3.00. | Memiliki kemampuan komunikasi yang baik (dalam Bahasa Indonesia dan Bahasa Inggris) secara tertulis ataupun verbal. | Memiliki kemampuan analisis, sistematis, dan teliti dalam mengidentifikasi serta menangani insiden. | Disiplin terhadap proses dan SOP, serta konsisten dalam dokumentasi. | Mampu menerapkan nilai-nilai utama perusahaan: Integrity, Prudence, Customer Focus, Fellowship, dan Achievement of Excellence","[""SQL"", ""Java"", ""Linux"", ""MySQL"", ""Oracle"", ""Troubleshooting""]"
OPERASIONAL DATA CENTER,https://id.jobstreet.com/id/job/91410314?type=standard&ref=search-standalone&origin=cardTitle#sol=c8df4cfedda50df1001e5430ea76fbe3d2bdbdbf,PT Cyber Network Indonesia,Jakarta Selatan,"Kualifikasi | • Fasih dalam komunikasi berbahasa inggris. | (di utamakan) | • Pendidikan minimal D3 Teknik Elektro, Teknik Informatika, Teknik Komputer, atau bidang terkait. | • Pengalaman minimal 1 tahun sebagai teknisi data center, infrastruktur IT, atau fasilitas listrik/mekanik. | • Memahami dasar sistem kelistrikan, pendingin (HVAC/CRAC/CRAH), UPS, genset, dan fire suppression system. | • Memahami dasar server dan jaringan (LAN, cabling, switch, modem). | • Mampu membaca diagram teknis dan SOP operasional. | • Bersedia bekerja dengan sistem shift (24/7), termasuk akhir pekan dan hari libur. | • Memiliki kemampuan komunikasi, koordinasi, dan problem solving yang baik. | Tanggung Jawab Utama | • Melaksanakan pemantauan harian terhadap sistem listrik, mekanikal, pendingin (cooling), dan perangkat jaringan di data center. | • Menangani kegiatan operasional seperti pengecekan rutin (daily checklist), preventive maintenance, serta pencatatan log aktivitas. | • Mendukung penanganan insiden teknis dan melakukan troubleshooting awal pada perangkat IT maupun infrastruktur pendukung. | • Memastikan keamanan, kebersihan, dan kerapihan area kerja sesuai standar. | • Mendampingi vendor, kontraktor, atau pihak ketiga saat pelaksanaan pekerjaan di area data center. | • Membantu eksekusi permintaan pelanggan terkait instalasi, perpindahan, atau perubahan layanan. | • Menyusun laporan kegiatan operasional harian, insiden, serta handover shift. | • Berkoordinasi dengan tim operasional, fasilitas, dan divisi terkait untuk menjaga keandalan layanan data center.","[""Troubleshooting""]"
Data Support,https://id.jobstreet.com/id/job/91585941?type=standard&ref=search-standalone&origin=cardTitle#sol=64c42ce3b967b0da0ba77b8a71c41afd7d60d1b8,PT ABISHAR TECHNOLOGIES INDONESIA,Jakarta Raya,"Act as the first layer of support to handle production issues, especially for data-related applications (DWH), including triaging, diagnosing, troubleshooting, escalation, and root cause analysis | Monitor application availability and perform troubleshooting, including providing required data for business users | Engage with business users to address complaints, resolve issues, and communicate updates | Identify and assess database-related solutions, and support users with in-depth analysis to resolve incidents and problems | Maintain and resolve open tickets related to applications | Conduct root cause analysis for recurring issues and recommend corrective and permanent solutions | Manage data access and security within the BI data platform | Perform performance tuning and provide feedback based on query plan analysis","[""Troubleshooting""]"
IT Network & Server Staff,https://id.jobstreet.com/id/job/91535177?type=standard&ref=search-standalone&origin=cardTitle#sol=9ba5d52d4a5d756aae6cad7dba6ea5e7b21c0f1e,PT. INTEGRA INDO LESTARI,Jakarta Selatan,"Job Descriptions | Mengelola dan maintenance server (fisik & virtual). | Monitoring performa server dan memastikan uptime optimal. | Menjalankan backup data serta memastikan proses recovery berjalan baik. | Mengelola jaringan (LAN/WAN, router, switch). | Melakukan Troubleshooting server & network. | Melakukan update sistem serta menjaga keamanan IT Infrastruktur. | Job Qualifications | Pendidikan minimal D3/S1 Teknik Informatika/Sistem Informasi. | Pengalaman 1/2 tahun di bidang IT Infrastruktur & Sistem Administrator. | Menguasai basic server (Windows/Linux) & networking (TCP/IP, VLAN, VPN). | Memahami sistem backup. | Memiliki kemampuan Problem Solving yang baik.","[""Linux"", ""Networking"", ""Troubleshooting""]"
project officer,https://id.jobstreet.com/id/job/91723818?type=standard&ref=search-standalone&origin=cardTitle#sol=3ee5e8bee1ab24eb66f9382a2deeec2610f1b486,PT. LUMINA IMAGING SOLUSINDO,Jakarta Raya,"PT. Lumina Imaging Solusindo membuka kesempatan bagi kandidat yang siap mengelola proyek LED videotron dari sisi teknis, sistem, dan koordinasi lapangan. | Kualifikasi: | pendidikan minimal SMA/SMK/D3 Teknik Electro, Sistem Informasi/IT. | memiliki kemampuan komunikasi dan koordinasi yang baik. | siap bekerja di lapangan dan memiliki mobilitas tinggi. | teliti, bertanggung jawab, dan mampu bekerja dalam tim. | Memahami dasar instalasi listrik & sistem LED display lebih di utamakan. | Terbiasa bekerja dengan target dan deadline. | Siap kerja lapangan & perjalanan dinas. | Tanggung Jawab: | mengelola dan memastikan kelancaran operasional lapangan | melakukan survei lokasi sebagai persiapan kegiatan/project | melakukan dokumentasi | memastikan ketersediaan serta kesiapan kebutuhan barang operasional | melakukan pengecekan kondisi lokasi untuk memastikan pekerjaan berjalan sesuai standar | melaksanakan tugas lain yang diberikan oleh atasan sesuai kebutuhan project | Koordinasi dengan tim teknisi, vendor, dan klien | Membuat timeline kerja dan memastikan proyek berjalan sesuai target | Support setting sistem videotron (basic controller/software)",[]
Junior Data Analyst,https://id.jobstreet.com/id/job/91842917?type=standard&ref=search-standalone&origin=cardTitle#sol=cbf5ee9e372519eb480ab26f405a866068c4479f,PT Mangrove Data Group,Badung,"About Mangrove: | Mangrove is a fast-growing startup company. Our focus is on great quality data processing, with possible expansions web design and content creation in the near future. | Our reliable partnerships has given us the possibility to seek more Data Entry Specialists to contribute to our continued success. | Job Description: | As a Data Analyst at Mangrove, you will play a crucial role in managing and organizing data critical to our operations. Your meticulous attention to detail and commitment to accuracy will support our expansion into new service areas and help maintain the high standards our clients expect. | Key Responsibilities: | Accurately input, research, update, and maintain data across various databases and online platforms. | Review and verify data for completeness and accuracy, making necessary corrections. | Collaborate with team members to collect required data and ensure consistency across sources. | Generate reports, store completed work in designated locations, and perform backup operations. | Maintain confidentiality regarding the information being processed, stored, or accessed. | Assist with additional administrative tasks as needed to support business operations. | Qualifications: | Proven experience as a data entry specialist or similar roles along with good typing skill. | Good command of English, both oral and written is a MUST. | Domiciled in Denpasar, Bali | An eye for detail and familiarity with online forms and spreadsheet. | Knowledge of MS Office Word, Excel | Basic understanding of database software is a plus. | College diploma; additional computer training or certification is a plus. | What We Offer: | A dynamic, supportive, and collaborative work environment. | Opportunities for professional growth and development. | Competitive salary and benefits package. | Red days and 2 weeks paid off per year. | BPJS and THR after probation period","[""Excel""]"
Staff IT,https://id.jobstreet.com/id/job/91636545?type=standard&ref=search-standalone&origin=cardTitle#sol=610f75ada312d5426ce4a3a6e730850dc6c0ef26,PT Citra Warna Abadi (Solo),Sukoharjo,"Peran penting di Perusahaan Teknologi Terkemuka | PT Citra Warna Abadi (Solo) adalah perusahaan teknologi yang sedang tumbuh pesat di Sukoharjo, Jawa Tengah. Kami mencari calon Staff IT yang berpengalaman untuk melengkapi tim kami yang dinamis dan berdedikasi. Dalam peran ini, Anda akan menjadi bagian penting dari upaya kami untuk menyediakan layanan teknologi berkualitas tinggi bagi pelanggan kami. | Tanggung Jawab Utama | Memantau dan memelihara infrastruktur IT perusahaan, termasuk jaringan, server, dan perangkat lainnya. | Memberikan dukungan teknis dan pemecahan masalah yang efisien bagi pengguna internal. | Mengimplementasikan dan memelihara sistem keamanan IT untuk melindungi data dan aset perusahaan. | Menganalisis, mengidentifikasi, dan menyelesaikan masalah IT yang muncul, memastikan kelangsungan bisnis yang lancar. | Mengembangkan dan menerapkan prosedur dan kebijakan IT untuk meningkatkan efisiensi dan produktivitas. | Berkolaborasi dengan tim lain untuk mengintegrasikan solusi teknologi yang mendukung tujuan bisnis. | Kualifikasi dan Pengalaman yang Dibutuhkan | Gelar diploma atau sarjana di bidang Teknologi Informasi, Sistem Informasi, atau bidang terkait. | Minimal 2 tahun pengalaman dalam peran dukungan teknis atau administrasi jaringan. | Memahami konsep dan teknologi jaringan, server, dan keamanan TI. | Terampil dalam menggunakan perangkat lunak dan sistem operasi umum, seperti Windows, Linux, dan aplikasi produktivitas. | Kemampuan pemecahan masalah yang baik dan orientasi pada layanan pelanggan. | Kemampuan komunikasi yang baik, baik secara lisan maupun tertulis. | Bersemangat untuk belajar dan mengembangkan keterampilan baru. | Manfaat Bergabung dengan Kami | Gaji kompetitif dan tunjangan menarik | Kesempatan untuk mengembangkan karier dalam perusahaan teknologi yang sedang berkembang | Lingkungan kerja yang kolaboratif dan mendukung pertumbuhan profesional | Fleksibilitas dalam pengaturan kerja, termasuk opsi bekerja jarak jauh | Paket manfaat yang komprehensif, termasuk asuransi kesehatan dan pensiun | Jika Anda tertarik dengan peran ini dan memenuhi kualifikasi yang kami cari, lamar sekarang dan bergabunglah dengan tim kami yang dinamis di PT Citra Warna Abadi (Solo)!","[""Linux""]"
