posted_date,job_title,skill_name,job_link
Tayang 6 hari yang lalu,Frontend Developer,Vue.js,https://glints.com/id/opportunities/jobs/frontend-developer/ffaf6166-fbbc-44bb-8a98-e4aed5455397?utm_referrer=explore&traceInfo=52053ae4-d056-4d3d-8fb1-e5d4e7b33c77
Tayang 6 hari yang lalu,Frontend Developer,React.js,https://glints.com/id/opportunities/jobs/frontend-developer/ffaf6166-fbbc-44bb-8a98-e4aed5455397?utm_referrer=explore&traceInfo=52053ae4-d056-4d3d-8fb1-e5d4e7b33c77
Tayang 6 hari yang lalu,Frontend Developer,Next.js,https://glints.com/id/opportunities/jobs/frontend-developer/ffaf6166-fbbc-44bb-8a98-e4aed5455397?utm_referrer=explore&traceInfo=52053ae4-d056-4d3d-8fb1-e5d4e7b33c77
Tayang 6 hari yang lalu,Frontend Developer,TypeScript,https://glints.com/id/opportunities/jobs/frontend-developer/ffaf6166-fbbc-44bb-8a98-e4aed5455397?utm_referrer=explore&traceInfo=52053ae4-d056-4d3d-8fb1-e5d4e7b33c77
Tayang 6 hari yang lalu,Frontend Developer,Tailwind CSS,https://glints.com/id/opportunities/jobs/frontend-developer/ffaf6166-fbbc-44bb-8a98-e4aed5455397?utm_referrer=explore&traceInfo=52053ae4-d056-4d3d-8fb1-e5d4e7b33c77
Tayang 24 hari yang lalu,Frontend Developer,Git,https://glints.com/id/opportunities/jobs/frontend-developer/04ea5f51-b8b6-4e46-9a61-df64cc8cf675?utm_referrer=explore&traceInfo=52053ae4-d056-4d3d-8fb1-e5d4e7b33c77
Tayang 24 hari yang lalu,Frontend Developer,Angular,https://glints.com/id/opportunities/jobs/frontend-developer/04ea5f51-b8b6-4e46-9a61-df64cc8cf675?utm_referrer=explore&traceInfo=52053ae4-d056-4d3d-8fb1-e5d4e7b33c77
Posted 5 months ago,Frontend Developer,Vue.js,https://glints.com/id/opportunities/jobs/frontend-developer/0e4e2e83-da10-40b9-8721-65665d7294a1?utm_referrer=explore&traceInfo=52053ae4-d056-4d3d-8fb1-e5d4e7b33c77
Posted 5 months ago,Frontend Developer,Angular,https://glints.com/id/opportunities/jobs/frontend-developer/0e4e2e83-da10-40b9-8721-65665d7294a1?utm_referrer=explore&traceInfo=52053ae4-d056-4d3d-8fb1-e5d4e7b33c77
Posted 5 months ago,Frontend Developer,NestJS,https://glints.com/id/opportunities/jobs/frontend-developer/0e4e2e83-da10-40b9-8721-65665d7294a1?utm_referrer=explore&traceInfo=52053ae4-d056-4d3d-8fb1-e5d4e7b33c77
Posted 5 months ago,Frontend Developer,Webpack,https://glints.com/id/opportunities/jobs/frontend-developer/0e4e2e83-da10-40b9-8721-65665d7294a1?utm_referrer=explore&traceInfo=52053ae4-d056-4d3d-8fb1-e5d4e7b33c77
Posted 5 months ago,Frontend Developer,TypeScript,https://glints.com/id/opportunities/jobs/frontend-developer/0e4e2e83-da10-40b9-8721-65665d7294a1?utm_referrer=explore&traceInfo=52053ae4-d056-4d3d-8fb1-e5d4e7b33c77
Tayang 10 hari yang lalu,Frontend Developer,React Native,https://glints.com/id/opportunities/jobs/frontend-developer/f92bf5ed-1b50-4213-8a58-a19b3d84a951?utm_referrer=explore&traceInfo=52053ae4-d056-4d3d-8fb1-e5d4e7b33c77
Tayang 10 hari yang lalu,Frontend Developer,Git,https://glints.com/id/opportunities/jobs/frontend-developer/f92bf5ed-1b50-4213-8a58-a19b3d84a951?utm_referrer=explore&traceInfo=52053ae4-d056-4d3d-8fb1-e5d4e7b33c77
Tayang 10 hari yang lalu,Frontend Developer,React.js,https://glints.com/id/opportunities/jobs/frontend-developer/f92bf5ed-1b50-4213-8a58-a19b3d84a951?utm_referrer=explore&traceInfo=52053ae4-d056-4d3d-8fb1-e5d4e7b33c77
