date_recorded,job_domain,skill_name,demand_count
2020-01-31,Cyber Security,Compliance,30
2020-02-29,Cyber Security,Compliance,25
2020-03-31,Cyber Security,Compliance,36
2020-04-30,Cyber Security,Compliance,24
2020-05-31,Cyber Security,Compliance,30
2020-06-30,Cyber Security,Compliance,28
2020-07-31,Cyber Security,Compliance,38
2020-08-31,Cyber Security,Compliance,24
2020-09-30,Cyber Security,Compliance,29
2020-10-31,Cyber Security,Compliance,40
2020-11-30,Cyber Security,Compliance,35
2020-12-31,Cyber Security,Compliance,31
2021-01-31,Cyber Security,Compliance,42
2021-02-28,Cyber Security,Compliance,26
2021-03-31,Cyber Security,Compliance,37
2021-04-30,Cyber Security,Compliance,28
2021-05-31,Cyber Security,Compliance,35
2021-06-30,Cyber Security,Compliance,28
2021-07-31,Cyber Security,Compliance,36
2021-08-31,Cyber Security,Compliance,27
2021-09-30,Cyber Security,Compliance,21
2021-10-31,Cyber Security,Compliance,45
2021-11-30,Cyber Security,Compliance,33
2021-12-31,Cyber Security,Compliance,42
2022-01-31,Cyber Security,Compliance,25
2022-02-28,Cyber Security,Compliance,20
2022-03-31,Cyber Security,Compliance,33
2022-04-30,Cyber Security,Compliance,34
2022-05-31,Cyber Security,Compliance,38
2022-06-30,Cyber Security,Compliance,27
2022-07-31,Cyber Security,Compliance,44
2022-08-31,Cyber Security,Compliance,23
2022-09-30,Cyber Security,Compliance,36
2022-10-31,Cyber Security,Compliance,38
2022-11-30,Cyber Security,Compliance,30
2022-12-31,Cyber Security,Compliance,31
2023-01-31,Cyber Security,Compliance,33
2023-02-28,Cyber Security,Compliance,27
2023-03-31,Cyber Security,Compliance,24
2023-04-30,Cyber Security,Compliance,38
2023-05-31,Cyber Security,Compliance,31
2023-06-30,Cyber Security,Compliance,35
2023-07-31,Cyber Security,Compliance,32
2023-08-31,Cyber Security,Compliance,37
2023-09-30,Cyber Security,Compliance,32
2023-10-31,Cyber Security,Compliance,33
2023-11-30,Cyber Security,Compliance,29
2023-12-31,Cyber Security,Compliance,28
2024-01-31,Cyber Security,Compliance,35
2024-02-29,Cyber Security,Compliance,39
2024-03-31,Cyber Security,Compliance,30
2024-04-30,Cyber Security,Compliance,35
2024-05-31,Cyber Security,Compliance,24
2024-06-30,Cyber Security,Compliance,30
2024-07-31,Cyber Security,Compliance,18
